id,date
701225819,26.10.17
754131438,17.07.19
707566605,15.11.17
708561738,07.12.17
782086447,26.08.18
710376094,30.11.17
754179642,08.05.18
757243988,18.05.18
729303442,08.02.18
699478811,01.11.17
111111115,23.07.19
761969038,22.08.19
999001188,
729581752,09.02.18
761564397,04.06.18
756114837,15.05.18
764664283,14.06.18
736231219,28.02.18
711964584,02.12.17
696694316,02.10.17
790677230,07.10.18
729561658,08.02.18
111111114,11.02.17
789370998,04.10.18
999000136,01.11.18
707451080,14.11.17
771546417,11.07.18
698018235,25.10.17
788173482,19.09.18
703806098,04.11.17
999000849,01.05.18
697959084,14.10.17
703698295,03.11.17
724095467,20.01.18
776368676,01.08.18
725824328,30.10.19
725731328,25.01.18
795689901,18.10.18
728169864,05.02.18
781847297,24.08.18
793467906,10.10.18
776616374,05.08.18
795079843,16.10.18
771406408,12.07.18
700387229,24.10.17
111111117,17.04.18
765982381,
735815173,04.03.18
728343601,07.02.18
781768042,29.08.18
999000135,01.11.18
732154721,19.02.18
769682854,05.07.18
999000125,01.12.18
999000870,08.11.18
728972961,07.02.18
731063195,06.03.06
764715911,15.06.18
111111113,01.12.17
701447437,27.10.17
741923579,26.03.18
729651527,09.02.18
723537899,30.10.19
711596363,01.12.17
758882558,25.05.18
111111112,26.06.13
762956953,08.06.18
757713354,
758812201,02.09.18
782149225,27.08.18
704856340,08.11.17
732708002,21.02.18
706636401,14.11.17
730149656,12.02.18
695833178,07.10.17
999000124,30.11.18
723793978,30.10.19
795379208,17.10.18
715790840,16.12.17
731927633,18.02.18
730237078,12.02.18
741802985,26.03.18
723501118,18.01.18
701553469,04.12.18
793534424,10.10.18
111111111,07.02.18
711622457,18.01.16
725238842,24.01.18
721406153,13.01.18
733754480,24.02.18
738207834,13.03.18
741896049,23.03.18
789121798,30.09.18
697063039,11.10.17
999000133,01.11.18
769962328,25.09.17
999000154,23.10.18
723883127,19.01.18
729578579,12.02.18
754348478,09.05.18
776535164,14.10.18
761546223,04.06.18
757964238,10.07.18
774145019,20.07.18
731511020,16.02.18
762206044,07.06.18
724095598,21.01.18
728680557,06.02.18
754231597,28.08.19
762200179,07.06.18
723844295,03.10.17
759468687,27.05.18
707772906,17.11.17
735815503,17.08.18
762152527,05.10.19
789121265,19.09.18
763260610,15.04.10
790266787,27.09.18
762340819,
770581969,09.07.18
697444415,13.10.17
775448623,28.07.18
735855251,02.03.18
999000155,16.10.18
706088110,18.10.19
730061195,11.02.18
708487008,29.01.14
711566593,01.09.19
738060046,12.03.18
790667730,28.09.18
718595845,13.05.19
755393220,11.05.18
735090638,25.07.19
694356862,02.10.17
757611486,20.05.18
727174208,31.01.18
698719689,17.10.17
780787440,21.08.18
771254016,11.07.18
705409419,09.11.17
723823436,19.01.18
730036755,11.02.18
782017101,25.08.18
999000142,30.10.18
713130996,07.12.17
730559808,13.02.18
786250729,11.09.18
771879020,01.08.18
737255982,
728153988,02.02.18
702077783,29.10.17
777488669,06.08.18
725276027,18.10.19
758512204,23.05.18
712382330,04.12.17
769752554,05.07.18
790720480,28.09.18
737194975,
754402671,09.05.18
721890296,13.01.18
701837665,28.10.17
999000184,03.01.19
999000147,01.11.18
999000145,03.11.18
786527921,10.09.18
696246189,08.10.17
770221823,15.02.16
699142854,
762546428,30.05.18
776373795,01.08.18
758669180,24.05.18
761334950,03.06.18
780619695,20.08.18
765953146,17.07.19
704591553,07.11.17
740808926,22.03.18
741655444,24.03.18
709732928,21.11.17
788900262,04.10.18
702077434,29.10.17
999000149,30.10.18
780414700,20.08.18
766942310,28.02.19
783702663,02.09.18
731762731,17.02.18
757171650,17.05.18
999000565,03.11.18
765197039,14.06.18
706501640,12.11.17
757843275,21.05.18
700662577,08.05.18
727405181,01.02.18
710100700,22.11.17
780786973,24.07.19
786919720,14.09.18
727569885,02.02.18
703821117,04.11.17
731513824,16.02.18
725498022,25.01.18
787002327,14.09.18
761780613,05.06.18
786731884,13.09.18
770376380,07.07.18
999001297,15.11.18
701939679,03.02.19
787668628,18.10.18
729410793,08.02.18
765385479,28.09.19
999000599,30.10.18
727497152,02.02.18
727869189,03.02.18
762160164,06.06.18
764609985,14.06.18
732610971,18.02.18
734265267,22.02.18
729700539,10.02.18
761610997,05.06.18
767129999,25.06.18
729670169,09.02.18
785801366,10.09.18
999001296,14.11.18
770938827,02.09.16
700461600,30.10.19
737457870,09.03.18
694327499,02.10.17
695108099,04.10.17
999001241,21.10.18
755814432,14.05.18
715588833,19.12.17
703056647,01.11.17
787759779,21.09.18
728758697,22.08.19
770156173,27.02.19
705035735,25.01.02
697996062,10.10.18
729549972,09.02.18
708071969,18.11.17
999001293,12.11.18
790483991,27.09.18
999001287,15.11.18
790720714,02.10.18
773520636,20.07.18
788056108,18.09.18
999000158,23.10.18
765913191,07.08.19
766632016,26.03.15
789370909,23.09.18
774904810,19.06.19
761969692,10.10.19
790665855,28.09.18
711716996,30.10.19
698503276,17.10.17
699291100,19.10.17
706600938,13.11.17
770945799,04.06.18
716469423,21.12.17
764518567,15.06.18
706777811,02.11.17
706661242,30.10.19
701933838,14.09.18
772947654,18.07.18
781577820,07.11.18
702111021,30.10.19
999000159,25.06.19
730573740,13.02.18
999000894,04.11.18
999000880,11.11.18
731178960,16.02.18
755459860,13.05.18
111111134,27.11.18
739140767,15.03.18
735265649,28.02.18
722512241,17.01.18
769962236,09.11.16
758469195,23.05.18
776049384,
761968851,09.01.18
761674108,26.10.17
761874505,05.06.18
789615291,25.09.18
999001619,28.11.18
773937361,23.07.18
111111135,09.03.18
111111121,01.10.19
765029945,16.07.19
755170235,10.05.18
730389374,30.10.19
701299732,26.10.17
770956434,11.07.18
111111137,08.03.18
111111123,01.10.18
721710340,10.01.18
754111899,08.05.18
730268758,12.02.18
779394730,14.08.18
696264594,09.10.17
795703371,18.10.18
758385628,23.05.18
787142429,14.09.19
111111122,26.09.18
730865684,15.09.18
111111136,17.01.18
758386255,23.05.18
698780559,17.10.17
736757214,06.02.17
787529309,19.09.18
730019938,30.10.19
788816478,09.07.18
727634031,03.02.18
999001226,19.11.18
739091070,28.02.18
999000312,28.11.18
729668796,10.02.18
762147609,06.06.18
759478604,31.05.18
722507879,14.01.18
111111132,23.04.17
696735702,10.10.17
787955075,17.09.18
790777028,28.09.18
778664280,13.08.18
770877978,10.07.18
770156851,18.07.18
758472954,23.05.18
795693029,22.10.18
774007496,23.08.16
774637726,16.07.18
111111133,19.11.18
729348908,19.03.16
697454736,12.10.17
730222442,12.02.18
999001970,14.12.18
793921939,12.10.18
766084411,21.06.18
698092698,10.10.17
999000675,05.11.18
729368012,09.02.18
727658675,02.02.18
999001033,01.11.18
718312499,28.12.17
788726416,21.09.18
729940206,07.06.18
778139122,07.08.18
727736557,02.02.18
999001621,29.11.18
111111131,12.06.18
758756657,23.05.18
763440871,11.06.18
724791253,22.01.18
754508491,17.07.19
769427494,01.09.19
700551604,01.08.17
758477392,23.05.18
776345502,02.08.18
752287274,01.05.18
786344683,22.11.16
727493378,01.02.18
773748383,23.07.18
727128296,31.01.18
727736595,02.02.18
694811415,03.10.17
795691173,18.10.18
771655795,20.02.18
111111124,18.09.18
740356006,20.03.18
999001032,31.10.18
759337941,15.04.19
697472447,12.10.17
761897089,05.06.18
730652769,14.02.18
763761219,13.06.18